artista,oyentes,reproducciones,biografia,artistas_similares
Kozak System,11695,229344,,"['Харцизи', 'Жадан і собаки', 'Тарас Чубай', 'Тінь Сонця', 'KALUSH']"
Bibi,644036,29142350,"Kim Hyung-seo (en hangul, 김형서; Ulsan, Corea del Sur, 27 de septiembre de 1998), conocida como Bibi (비비; estilizado en mayúsculas), es una cantautora surcoreana. En 2017 firmó un contrato con la discográfica Feel Ghood Music después de que la rapera Yoon Mi-rae encontró algunas de sus canciones en Soundcloud. <a href=""https://www.last.fm/music/Bibi"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Seori', 'SAAY', 'DeVita', 'DEAN', 'DPR IAN']"
FROMIS_9,433259,40495753,"fromis_9 (Hangul: 프로미스나인) es un grupo femenino surcoreano bajo Pledis Entertainment, formado por CJ E&M mediante el reality show Idol School en 2017.
 El grupo está compuesto por ocho miembros: Lee Saerom, Song Hayoung, Park Jiwon, Roh Jisun, Lee Seoyeon, Lee Chaeyoung, Lee Nagyung, y Baek Jiheon. 
Originalmente la alineación contaba con nueve miembros, pero Jang Gyuri abandonó el grupo el 31 de julio de 2022 luego de la expiración de su contrato. <a href=""https://www.last.fm/music/FROMIS_9"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
BABYMONSTER,343807,18453707,,[]
Niro,47931,1589770,,"['Lacrim', ""Rim'K"", 'Ninho', 'Dosseh', 'Gradur']"
Swedish House Mafia,2330886,42362417,"SHM fué un grupo formado por 3 DJs y productores dedicados al House Axwell, Steve Angello y Sebastian Ingrosso. Su primer single ""One"" (your name) los llevó a la fama, con la participación de Pharrell, pero ahora van a promocionar su nuevo single ""Save the world (tonight)"" despues de su ""Miami 2 Ibiza""

En el website de la banda figuran cuatro integrantes incluyendo a Eric Prydz el que se mudó a Londres y ahora no es considerado como parte del grupo, sin embargo los sigue apoyando a la distancia.

El grupo se formó cuando Axwell se mudó a Estocolmo donde conoció a Sebastian Ingrosso en una noche de copas, luego conoció a Steve por Sebastian. El nombre de la banda salió al azar una noche que bebían café fuera de un 7-eleven (supermercado).

A finales de septiembre de 2012, la banda anunció las fechas de su última gira One Last Tour, que comenzó en 16 de noviembre en Dubái y finalizó el 9 de marzo de 2013, en el Parque Histórico de Los Angeles, EE.UU. Sus dos últimas actuciones tuvieron lugar en el Ultra Music Festival en Miami, el 16 y 24 de marzo de 2013. Junto con las fechas de esta gira, salió a la venta su segundo álbum compilatorio Until Now en el que recopila los grandes éxitos de la banda, y de sus 3 miembros por separado. <a href=""https://www.last.fm/music/Swedish+House+Mafia"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Steve Angello', 'Alesso', 'Axwell', 'Martin Garrix', 'Sebastian Ingrosso']"
Hojean,289695,7992459,,"['brb.', 'slchld', 'Christian Kuria', 'CLUB BOYBND', 'Luke Chiang']"
Vũ.,18715,735538,,"['CHILLIES', 'Thịnh Suy', 'Da Lab', 'T.R.I', 'Hà Anh Tuấn']"
Sault,474896,9984211,"Casi no hay información sobre Sault. 
Son un colectivo musical con raíces de R&B, incluido el soul psicodélico retro-moderno, el funk post-punk revoltoso, el afro beat, y pop deliberadamente oblicuo. El grupo británico, baila de la tristeza a la resistencia, mezclando letras sin miedo con house, funk y disco. Su música ha llegado de la nada: sin entrevistas, sin fotos, sin videos, sin presentaciones en vivo, sin entrada en Wikipedia, una presencia superficial y completamente no interactiva en las redes sociales. Nadie se ha atribuido la responsabilidad de la música que hasta ahora ha sido recibida con entusiasmo entre el público. Sault es un colectivo de música británico, anónimo que hace una mezcla de r'n'b, house y disco y que a pesar de los elogios de la crítica, evitan la interacción con los medios. Sin embargo, ellos parecen usar el tiempo que ahorran, al no promocionar sus álbumes o interactuar con el público, de manera rentable. Sus letras tienen una gran variedad desde la composición, que pasan fácilmente desde lo afectivo, al dolor, a la oposición, a la elevación. Pura expresión actual. Al escucharlos, de inmediato te das cuenta de que estás en presencia de algo especial. <a href=""https://www.last.fm/music/Sault"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Cleo Sol', 'yaya bey', 'Gabriels', 'Yazmin Lacey', 'Pip Millett']"
Lu de la Tower,1622,13147,,"['Luis vega', 'Aldo Peña', 'Tingo Vincenti', ""Orquesta Internacional A'Banda Sombra"", 'Bonny Lovy']"
Larissa Lambert,58598,535542,,"['Janine', 'Pia Mia', 'Stacey Ryan', 'Thủy', 'Thuy']"
Babasonicos,52890,1569329,"Babasónicos es una banda de rock de Argentina, formada a comienzos de los años 1990. En un comienzo parte del “Nuevo rock argentino”, movimiento compuesto por bandas como Peligrosos Gorriones y Los Brujos a comienzos de los 90, su sonido pasó del rock sónico de sus primeros discos a un pop con matices de electro. “Babasónicos” es un juego de palabras entre Sai Baba, el gurú indio, y los Supersónicos.



   
Integrantes 

    * Adrián ""Dárgelos"" Rodriguez - voz
    * Mariano ""Roger"" Domínguez - guitarra solista
    * Diego ""Uma"" Rodriguez - guitarra rítmica, percusión.
    * Diego Tuñon - teclados y sintetizadores
    * Diego ""Panza"" Castellano - batería
    * Gabriel ""Gabo"" Manelli (fallecido)- bajo
    * Carca - bajo
    * Dj Peggyn(se fue de la banda luego de editar Miami)-bandejas, teclados

Historia 

Primera etapa: Rock sónico 

El líder y cantante, Adrián “Dárgelos” Rodríguez, y el teclista Diego “Uma-T” Tuñón quisieron crear un sonido new wave que no siguiera la escena musical argentina ya establecida. A Adrián y a Diego se les uniría el hermano de Dárgelos, Diego “Uma” Rodríguez (guitarrista y voces), Diego “Panza” Castellano (baterista), Mariano “Roger” Domínguez (guitarrista) y Gabriel “Gabo” Manelli (bajista).

El primer álbum de Babasónicos, Pasto (1992) contaba con el hit “D-generación”, su primer gran éxito, y con la colaboración de Gustavo Cerati y Daniel Melero. También en 1992 actuaron como teloneros para Soda Stereo.

Para su segundo disco, Trance Zomba (1994), incorporaron a un DJ: “DJ Peggyn”, que se convertiría en un miembro de la banda hasta Miami (1999). También en 1994 telonearon a Depeche Mode en su presentación en el estadio de Vélez Sársfield.

Luego de salir de la ola de bandas del “Nuevo rock argentino” de finales de los ’80 y comienzos de los ’90, Babasonicos se convirtió en el grupo insignia del movimiento under de “rock sónico”. En 1998 un single nuevo, ""Desfachatados"", fue incluido en un CD, junto a otros músicos internacionales, en beneficio de los refugiados de Kosovo. También en el '98 el grupo colaboró con Ian Brown, ex Stone Roses, en una canción con su nombre en el álbum de Ian Golden Greats (1999).

Luego de lanzar Miami en 1999, la banda concluye su relación con Sony Music (su discográfica hasta el momento), así que deciden editar sus próximo lanzamientos a través de su propio sello: Bultaco Records. Babasónicos lanza ""Vórtice Marxista"" (compuesto por lados B de sus primeros tres discos), ""Vedette"" (lados B de Babasónica), ""Babasónica Electrónica"" (remixes de Babasónica hechos por el grupo y por otros artistas) y ""Groncho"" (lados B de Miami). Para grabar su siguiente disco se asocian con Pop Art Music.

A pesar de que la banda había mezclado varios estilos con experimentación en sus primeros discos, Miami ya marca una transición que se concreta con su siguiente disco.

Segunda etapa: Pop/Rock 

Con el disco Jessico (2001) –el primer gran álbum argentino de la década, según los críticos del Suplemento No de Página/12, el Sí de Clarín, la revista Rolling Stone y la revista Los Inrockuptibles[1] -, Babasónicos hace un cambio en su estilo para acercarse más al pop/rock. En el 2002 el grupo se embarca en una gira por EE. UU. y México.

Hacia fines de 2003 editan el disco Infame que confirma el estilo adoptado por la banda en Jessico y su lugar entre los artistas más populares de la Argentina. Este álbum cuenta con varias canciones que tuvieron amplia rotación en canales de música y radios como ""Irresponsables"", ""Y qué?"" y ""Putita"". Al años siguiente el disco fue editado en 16 países y ganan seis estatuillas en la entrega de los premios Gardel.

En octubre de 2005 lanzan ""Anoche"", disco que contiene canciones como ""Carismático"" y ""Yegua"" y que fue producido por Andrew Weiss. En 2006 la banda realizó una gira por Chile, Colombia, Ecuador, México y España.

En el 2007 continuó con sus giras y realizó una con la banda Zoé, recorriendo EE.UU. y México. Ese mismo año, editan ""Luces"", el primer DVD con registro en vivo de la banda. Dirigido por Agustin Alberdi, director de varios de los más exitosos videoclips de la banda, ""con este DVD estamos pensando en un grupo de amigos fanáticos de Babasónicos o no, que se juntan y arman un re-plan para un viernes a la noche, lo ponen bien fuerte para pasarse una hora de puta madre."" Así mismo editaron el soundtrack de la película ""Las mantenidas sin sueños"" de Vera Fogwill y Martin Desalvo, que presentaron en un show íntimo en las antiguas tiendas Harrods de Buenos Aires.

El 18 de octubre de 2007, la banda se presentó en la entrega de Los Premios MTV, celebrada en México, donde recogieron el premio a Mejor Banda Rock. La Banda se encontraba nominada junto a su compatriota Gustavo Cerati y la banda mexicana Moderatto, entre otros. También en dicha ceremonia la banda hizo una actuación tocando la canción ""El colmo"" de su álbum Anoche al finalizar la ceremonia.

A fines de diciembre de 2007 se edita ""Arrogante Rock, Conversaciones con Babasónicos"", un libro donde el periodísta argentino, crítico de rock y docente de periodismo Roque Casciero relata conversaciones que recorren la historia de la banda, desde sus inicios como ""Rosas del Diluvio"" y ""X-Tanz"" a lo que hoy día conocemos como Babasónicos.

El 12 de enero de 2008 fallece el bajista del grupo, Gabriel ""Gabo"" Mannelli, víctima de la enfermedad de Hodgkin, contra la cual luchaba hace tiempo.[2] Carca es el encargado de ocupar su lugar durante las giras posteriores.

En mayo de 2008 se edita ""Mucho"", el nuevo disco de la banda. La principal novedad que trajo aparejada el lanzamiento de este disco fue que salió a la venta en formato celular antes que en en CD.[3] El disco cuenta con 10 temas y su primer corte de difusión es ""Pijamas"". También se destacan los temas: ""Estoy Rabioso"", ""Cuello Rojo"" y la balada ""Nosotros"". Durante el mes de agosto de 2008 la banda confirmo un segundo sencillo de Mucho: ""Microdancing"", cuyo video logró una gran circulación en diferentes medios. Tanto el album Mucho como la banda fueron elegidos por la prensa especializada y por el voto de la gente (en suplementos como el S! de Clarin) como los mejores del 2008.

Discografía

Álbumes de estudio

    * Pasto (1992)
    * Trance Zomba (1994)
    * Dopádromo (1996)
    * Babasónica (1997)
    * Miami (1999)
    * Jessico (2001)
    * Infame (2003)
    * Anoche (2005)
    * Mucho (2008)

Compilaciones [editar]

    * Babasonicos:obras cumbres:2 cd (2002)
    * Grandes éxitos del 1992-1999 (2005)

Lados B 

    * “Vórtice Marxista” (1998)
    * “Vedette” (2000)
    * “Groncho” (2000)

Remixes 

    * D-generacion Trash Mix (1994) * Babasónica Electrónica (2000)
    * Jessico Megamix (2000)
    * Jessico Dance Mix (2002)
    * Mezclas Infame (2004)

Soundtrack

    * La hija del caníbal (2003)
    * Las Mantenidas sin Sueños (2007)

DVD 

    * Luces (2007)
 <a href=""https://www.last.fm/music/+noredirect/Babasonicos"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
